# name, mass, radius, period, axis, eccentricity, inclination, angular_distance, publication_status_letter, discovered, updated, omega, tperi, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
Kepler-21 b,0.033,0.1459,2.785755,0.042507,0.0,82.58,0.000394,C,2011,2011-12-12,,,detected by transit,,Kepler-21,19:09:27.0,+38:42:50,8.27,,,,,108.0,-0.15,1.34,1.86,F6IV,2.84,6131.0
Kepler-22 b,0.11,0.21,289.8623,0.849,,89.764,0.004468,R,2011,2011-12-09,,,detected by transit,,Kepler-22,19:16:52.0,+47:53:04,12.0,,,,,190.0,-0.29,0.97,0.979,G5,,5518.0
Kepler-23 b,0.8,0.17,7.1073,0.075,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-23,19:36:52.0,+49:28:45,14.0,,,,,,,1.11,1.52,,,5760.0
Kepler-23 c,2.7,0.29,10.7421,0.099,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-23,19:36:52.0,+49:28:45,14.0,,,,,,,1.11,1.52,,,5760.0
Kepler-24 b,1.6,0.21,8.1453,0.08,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-24,19:21:39.0,+38:20:38,15.5,,,,,,,1.03,1.07,,,5800.0
Kepler-24 c,1.6,0.25,12.3335,0.106,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-24,19:21:39.0,+38:20:38,15.5,,,,,,,1.03,1.07,,,5800.0
Kepler-25 b,12.7,0.23,6.2385,0.068,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-25,19:06:33.0,+39:29:16,11.0,,,,,,0.01,1.22,1.36,,,6190.0
Kepler-25 c,4.16,0.4,12.7204,0.11,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-25,19:06:33.0,+39:29:16,11.0,,,,,,0.01,1.22,1.36,,,6190.0
Kepler-26 b,0.38,0.32,12.2829,0.085,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-26,18:59:46.0,+46:34:00,16.0,,,,,,-0.21,0.65,0.59,,,4500.0
Kepler-26 c,0.375,0.32,17.2513,0.107,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-26,18:59:46.0,+46:34:00,16.0,,,,,,-0.21,0.65,0.59,,,4500.0
Kepler-27 b,9.11,0.36,15.3348,0.118,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-27,19:28:57.0,+41:05:09,,,,,,,0.41,0.65,0.59,,,5400.0
Kepler-27 c,13.8,0.44,31.3309,0.191,,,,R,,2012-01-30,,,detected by transit,,Kepler-27,19:28:57.0,+41:05:09,,,,,,,0.41,0.65,0.59,,,5400.0
Kepler-28 b,1.51,0.32,5.9123,0.062,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-28,19:28:33.0,+42:25:46,15.5,,,,,,0.34,0.75,0.7,,,4590.0
Kepler-28 c,1.36,0.3,8.9858,0.081,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-28,19:28:33.0,+42:25:46,15.5,,,,,,0.34,0.75,0.7,,,4590.0
Kepler-29 b,0.4,0.32,10.3376,0.09,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-29,19:53:24.0,+47:29:28,15.5,,,,,,0.0,1.0,0.96,,,5750.0
Kepler-29 c,0.3,0.26,13.2907,0.11,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-29,19:53:24.0,+47:29:28,15.5,,,,,,0.0,1.0,0.96,,,5750.0
Kepler-30 b,0.2,0.33,29.329,0.18,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-30,19:01:08.0,+38:56:50,15.5,,,,,,0.18,0.99,0.95,,,5498.0
Kepler-30 c,9.1,1.29,60.3251,0.3,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-30,19:01:08.0,+38:56:50,15.5,,,,,,0.18,0.99,0.95,,,5498.0
